No,Module,Area,Method,Path,Protocol,HTTP,Purpose,Page,UIBinding,IntegrationClass,HookOrClient,Permission,Invalidation,RequiredBeforeDone,TestEvidence,InitialStatus,GapOrException
88,AI Agent Admin,Playground,POST,/api/ai-agent/playground/direct/run,REST,200,Chạy thử trực tiếp (chọn agent + prompt version + deployment),W5-ADM-14,DirectPlaygroundRunner,UI_ACTION,useChYThTrCTiMutation,AI_PLAYGROUND_USE,playground result/history,YES,E2E-W5-API-088,MAPPED,—
89,AI Agent Admin,Playground,POST,/api/ai-agent/playground/prompt/preview,REST,200,Preview rendered prompt (không gọi AI),W5-ADM-14,PromptPreviewPanel,UI_ACTION,usePreviewRenderedPromptKhNgGMutation,AI_PLAYGROUND_USE,playground result/history,YES,E2E-W5-API-089,MAPPED,—
90,AI Agent Admin,Playground,GET,/api/ai-agent/playground/options,REST,200,"Lấy options cho dropdowns (event configs, agents, prompts, deployments)",W5-ADM-14,PlaygroundConfigurationForm,UI_READ,useLYOptionsChoDropdownsEventQuery,AI_PLAYGROUND_USE,None,YES,E2E-W5-API-090,MAPPED,—
91,AI Agent Admin,Tools,POST,/api/ai-agent/tools,REST,201,Đăng ký tool mới,W5-ADM-15 / W5-ADM-16,ToolRegistryPage / ToolDetailPage,UI_ACTION,useNgKToolMIMutation,AI_TOOL_MANAGE,tools list/detail/permissions/bindings,YES,E2E-W5-API-091,MAPPED,—
92,AI Agent Admin,Tools,PUT,/api/ai-agent/tools/{id},REST,200,Cập nhật tool,W5-ADM-15 / W5-ADM-16,ToolRegistryPage / ToolDetailPage,UI_ACTION,useCPNhTToolMutation,AI_TOOL_MANAGE,tools list/detail/permissions/bindings,YES,E2E-W5-API-092,MAPPED,—
93,AI Agent Admin,Tools,GET,/api/ai-agent/tools/{id},REST,200,Chi tiết tool,W5-ADM-15 / W5-ADM-16,ToolDetailPage,UI_READ,useChiTiTToolQuery,AI_TOOL_VIEW,None,YES,E2E-W5-API-093,MAPPED,—
94,AI Agent Admin,Tools,GET,/api/ai-agent/tools,REST,200,Tìm kiếm tools (paginated),W5-ADM-15 / W5-ADM-16,ToolRegistryTable,UI_READ,useTMKiMToolsPaginatedQuery,AI_TOOL_VIEW,None,YES,E2E-W5-API-094,MAPPED,—
95,AI Agent Admin,Tools,PATCH,/api/ai-agent/tools/{id}/activate,REST,200,Activate tool,W5-ADM-15 / W5-ADM-16,ToolRegistryPage / ToolDetailPage,UI_ACTION,useActivateToolMutation,AI_TOOL_MANAGE,tools list/detail/permissions/bindings,YES,E2E-W5-API-095,MAPPED,—
96,AI Agent Admin,Tools,PATCH,/api/ai-agent/tools/{id}/deactivate,REST,200,Deactivate tool,W5-ADM-15 / W5-ADM-16,ToolRegistryPage / ToolDetailPage,UI_ACTION,useDeactivateToolMutation,AI_TOOL_MANAGE,tools list/detail/permissions/bindings,YES,E2E-W5-API-096,MAPPED,—
97,AI Agent Admin,Tools,POST,/api/ai-agent/tools/{id}/permissions,REST,201,Thêm permission yêu cầu cho tool,W5-ADM-15 / W5-ADM-16,AddToolPermissionDialog,UI_ACTION,useThMPermissionYUCMutation,AI_TOOL_MANAGE,tools list/detail/permissions/bindings,YES,E2E-W5-API-097,MAPPED,—
98,AI Agent Admin,Tools,DELETE,/api/ai-agent/tools/{id}/permissions/{permissionId},REST,200,Xoá permission binding,W5-ADM-15 / W5-ADM-16,RemoveToolPermissionAction,UI_ACTION,useXoPermissionBindingMutation,AI_TOOL_MANAGE,tools list/detail/permissions/bindings,YES,E2E-W5-API-098,MAPPED,—
99,AI Agent Admin,Tools,POST,/api/ai-agent/tools/{id}/bindings,REST,201,Bind tool với agent,W5-ADM-15 / W5-ADM-16,BindAgentDialog,UI_ACTION,useBindToolVIAgentMutation,AI_TOOL_MANAGE,tools list/detail/permissions/bindings,YES,E2E-W5-API-099,MAPPED,—
100,AI Agent Admin,Tools,GET,/api/ai-agent/tools/{id}/bindings,REST,200,Danh sách agents đang bind với tool,W5-ADM-15 / W5-ADM-16,ToolAgentBindingsTable,UI_READ,useDanhSChAgentsAngBindQuery,AI_TOOL_VIEW,None,YES,E2E-W5-API-100,MAPPED,—
101,AI Agent Admin,Tools,DELETE,/api/ai-agent/tools/{id}/bindings/{agentId},REST,200,Unbind agent khỏi tool,W5-ADM-15 / W5-ADM-16,UnbindAgentAction,UI_ACTION,useUnbindAgentKhIToolMutation,AI_TOOL_MANAGE,tools list/detail/permissions/bindings,YES,E2E-W5-API-101,MAPPED,—
102,AI Agent Admin,Tools,POST,/api/ai-agent/tools/{id}/execute,REST,200,Execute tool (stub/no-op + ghi log),W5-ADM-15 / W5-ADM-16,ToolDebugExecutePanel,ADMIN_DEBUG_ACTION,useExecuteToolStubNoOpGhiMutation,AI_TOOL_MANAGE,tools list/detail/permissions/bindings,YES,E2E-W5-API-102,MAPPED,—
